,Grupo,Pais,Pos,Name,Captain,Age,Caps,Goals,Club
0,Group A,Egypt,1GK,Essam El-Hadary,Si,(1973-01-15)15 January 1973 (aged 45),157,0, Al Taawoun
1,Group A,Egypt,1GK,Sherif Ekramy,No,(1983-07-01)1 July 1983 (aged 34),22,0, Al Ahly
2,Group A,Egypt,1GK,Mohamed Awad,No,(1992-07-06)6 July 1992 (aged 25),3,0, Ismaily
3,Group A,Egypt,1GK,Mohamed El-Shenawy,No,(1988-12-18)18 December 1988 (aged 29),2,0, Al Ahly
4,Group A,Egypt,2DF,Ahmed Fathy,No,(1984-11-10)10 November 1984 (aged 33),125,3, Al Ahly
5,Group A,Egypt,2DF,Ahmed Elmohamady,No,(1987-09-09)9 September 1987 (aged 30),77,2, Aston Villa
6,Group A,Egypt,2DF,Mohamed Abdel-Shafy,No,(1985-07-01)1 July 1985 (aged 32),50,1, Al Fateh
7,Group A,Egypt,2DF,Ahmed Hegazi,No,(1991-01-25)25 January 1991 (aged 27),44,1, West Bromwich Albion
8,Group A,Egypt,2DF,Omar Gaber,No,(1992-01-30)30 January 1992 (aged 26),23,0, Los Angeles FC
9,Group A,Egypt,2DF,Ali Gabr,No,(1989-01-10)10 January 1989 (aged 29),20,1, West Bromwich Albion
10,Group A,Egypt,2DF,Saad Samir,No,(1989-04-01)1 April 1989 (aged 29),11,0, Al Ahly
11,Group A,Egypt,2DF,Karim Hafez,No,(1996-03-12)12 March 1996 (aged 22),5,0, Lens
12,Group A,Egypt,2DF,Ayman Ashraf,No,(1991-04-09)9 April 1991 (aged 27),4,0, Al Ahly
13,Group A,Egypt,2DF,Amro Tarek,No,(1992-05-17)17 May 1992 (aged 26),1,0, Orlando City
14,Group A,Egypt,2DF,Mahmoud Hamdy,No,(1995-06-01)1 June 1995 (aged 23),0,0, Zamalek
15,Group A,Egypt,3MF,Mohamed Elneny,No,(1992-07-11)11 July 1992 (aged 25),60,5, Arsenal
16,Group A,Egypt,3MF,Abdallah Said,No,(1985-07-13)13 July 1985 (aged 32),35,6, KuPS
17,Group A,Egypt,3MF,Shikabala,No,(1986-03-05)5 March 1986 (aged 32),29,2, Al Raed
18,Group A,Egypt,3MF,Trézéguet,No,(1994-10-01)1 October 1994 (aged 23),23,2, Kasımpaşa
19,Group A,Egypt,3MF,Ramadan Sobhi,No,(1997-01-23)23 January 1997 (aged 21),22,1, Stoke City
20,Group A,Egypt,3MF,Tarek Hamed,No,(1988-10-24)24 October 1988 (aged 29),20,0, Zamalek
21,Group A,Egypt,3MF,Kahraba,No,(1994-04-13)13 April 1994 (aged 24),18,3, Al-Ittihad
22,Group A,Egypt,3MF,Amr Warda,No,(1993-09-13)13 September 1993 (aged 24),15,0, Atromitos
23,Group A,Egypt,3MF,Sam Morsy,No,(1991-09-10)10 September 1991 (aged 26),4,0, Wigan Athletic
24,Group A,Egypt,3MF,Mahmoud Abdel Aziz,No,(1990-07-27)27 July 1990 (aged 27),1,0, Zamalek
25,Group A,Egypt,4FW,Mohamed Salah,No,(1992-06-15)15 June 1992 (aged 25),57,33, Liverpool
26,Group A,Egypt,4FW,Marwan Mohsen,No,(1989-02-26)26 February 1989 (aged 29),23,4, Al Ahly
27,Group A,Egypt,4FW,Ahmed Hassan Kouka,No,(1993-03-05)5 March 1993 (aged 25),15,5, Braga
